timestamp,capteurA,capteurB,PIR,label
2879360,1,1,1,rien
2879566,1,1,1,rien
2879772,1,0,1,rien
2879978,1,1,1,rien
2880184,1,1,1,rien
2880388,0,1,1,sortie
2880594,0,1,1,rien
2880800,0,1,1,rien
2881006,0,1,1,rien
2881212,1,1,1,rien
2881417,1,1,1,rien
2881623,1,1,1,rien
2881829,1,1,1,rien
2882034,1,1,1,rien
2882240,1,1,1,rien
2882446,1,1,1,rien
2882651,1,1,1,rien
2882857,0,1,1,rien
2883063,0,1,1,rien
2883269,0,1,1,rien
2883475,0,1,1,rien
2883681,0,1,1,rien
2883887,0,1,1,rien
2884093,0,1,1,rien
2884297,0,1,1,rien
2884503,1,1,1,rien
2884709,1,1,1,rien
2884915,1,1,1,rien
2885120,1,1,1,rien
2885326,1,1,1,rien
2885532,1,1,1,rien
2885737,1,1,1,rien
2885943,1,1,1,rien
2886149,1,1,1,rien
2886355,1,1,1,rien
2886561,1,1,1,rien
2886767,1,1,1,rien
2886973,1,1,1,rien
2887179,1,1,1,rien
2887384,1,1,1,rien
2887589,1,1,1,rien
2887795,1,1,1,rien
2888001,1,1,1,rien
2888207,1,1,1,rien
2888412,1,0,1,rien
2888618,1,0,1,rien
2888823,1,0,1,rien
2889029,1,1,1,rien
2889235,1,1,1,rien
2889441,1,1,1,rien
2889647,0,1,1,sortie
2889853,0,1,1,rien
2890059,0,1,1,rien
2890265,1,1,1,rien
2890471,1,1,1,rien
2890677,1,1,1,rien
2890883,1,1,1,rien
2891089,1,1,1,rien
2891295,1,1,1,rien
2891501,1,1,1,rien
2891707,1,0,1,rien
2891912,1,0,1,rien
2892118,1,1,1,rien
2892324,1,1,1,rien
2892530,0,1,1,sortie
2892736,0,1,1,rien
2892942,0,1,1,rien
2893148,1,1,1,rien
2893358,1,1,1,rien
2893560,1,1,1,rien
2893766,1,1,1,rien
2893972,1,1,1,rien
2894178,1,1,1,rien
2894383,1,0,1,rien
2894589,1,1,1,rien
2894795,1,1,1,rien
2895001,0,1,1,sortie
2895207,0,1,1,rien
2895413,1,1,1,rien
2895618,1,1,1,rien
2895823,1,1,1,rien
2896029,1,1,1,rien
2896234,1,1,1,rien
2896440,1,1,1,rien
2896646,1,0,1,rien
2896851,1,1,1,rien
2897057,1,1,1,rien
2897263,0,1,1,sortie
2897468,0,1,1,rien
2897673,0,1,1,rien
2897879,1,1,1,rien
2898085,1,1,1,rien
2898290,1,1,1,rien
2898496,1,1,1,rien
2898701,1,1,1,rien
2898906,1,0,1,rien
2899112,1,0,1,rien
2899317,1,1,1,rien
2899522,0,1,1,sortie
2899727,0,1,1,rien
2899933,0,1,1,rien
2900139,0,1,1,rien
2900345,1,1,1,rien
2900550,1,1,1,rien
2900755,1,1,1,rien
2900961,1,1,1,rien
